0;6;5
1;7;5
2;8;5
3;9;5
4;10;5
5;11;5
6;12;5
7;13;5
8;14;5
9;15;5
10;16;5
11;17;5
12;18;5
13;19;5
14;20;5
15;21;5
16;22;5
17;22;6
18;22;7
19;22;8
20;22;9
21;22;10
22;22;11
23;22;12
24;22;13
25;22;14
26;22;15
27;22;16
28;22;17
29;22;18
30;22;19
31;22;20
32;22;21
33;22;22
34;22;23
35;22;24
36;22;25
37;22;26
38;22;27
39;22;28
40;22;29
41;22;30
42;22;31
43;22;32
44;22;33
45;22;34
46;22;35
47;22;36
48;22;37
49;22;38
50;21;38
51;20;38
52;19;38
53;18;38
54;17;38
55;16;38
56;15;38
57;14;38
58;14;39
59;14;40
60;14;41
61;14;42
62;14;43
63;13;43
64;12;43
65;11;43
66;10;42
67;10;41
68;10;40
69;10;39
70;10;38
71;9;38
72;8;38
73;7;38
74;6;38
75;5;38
76;5;37
77;5;36
78;5;35
79;5;34
80;5;33
81;5;32
82;5;31
83;5;30
84;5;29
85;5;28
86;5;27
87;5;26
88;6;26
89;7;26
90;8;26
91;9;26
92;9;25
93;9;24
94;9;23
95;9;22
96;9;21
97;9;20
98;9;19
99;9;18
100;9;17
101;8;17
102;7;17
103;6;17
104;6;16
105;6;15
106;6;14
107;6;13
108;6;12
109;6;11
110;6;10
111;6;9
112;6;8
113;6;7
114;6;6
115;10;26
116;11;26
117;12;26
118;13;26
119;14;26
120;15;26
121;15;27
122;15;28
123;15;29
124;16;29
125;17;29
126;18;29
127;19;29
128;20;29
129;21;29
130;23;5
131;24;5
132;25;5
133;26;5
134;27;5
135;28;5
136;29;5
137;29;6
138;29;7
139;29;8
140;29;9
141;29;10
142;29;11
143;29;12
144;29;13
145;29;14
146;30;14
147;31;14
148;32;14
149;33;14
150;34;14
151;34;15
152;34;16
153;34;17
154;34;18
155;34;19
156;34;20
157;34;21
158;34;22
159;34;23
160;34;24
161;35;24
162;36;24
163;37;24
164;38;24
165;39;24
166;40;24
167;41;24
168;42;24
169;42;25
170;42;26
171;42;27
172;42;28
173;42;29
174;42;30
175;42;31
176;42;32
177;42;33
178;42;34
179;42;35
180;42;36
181;42;37
182;42;38
183;42;39
184;42;40
185;42;41
186;42;42
187;42;43
188;42;44
189;41;44
190;40;44
191;39;44
192;39;43
193;39;42
194;38;42
195;37;42
196;36;42
197;35;42
198;34;42
199;33;42
200;32;42
201;31;42
202;31;41
203;31;40
204;31;39
205;31;38
206;31;37
207;31;36
208;31;35
209;31;34
210;31;33
211;31;32
212;31;31
213;31;30
214;30;30
215;29;30
216;28;30
217;27;30
218;26;30
219;25;30
220;25;29
221;25;28
222;25;27
223;25;26
224;25;25
225;25;24
226;25;23
227;25;22
228;25;21
229;24;21
230;23;21
231;29;15
232;29;16
233;29;17
234;29;18
235;28;18
236;27;18
237;26;18
238;25;18
239;24;18
240;23;18
241;11;37
242;11;38
243;12;38
244;13;38
245;23;38
246;24;38
247;25;38
248;26;38
249;27;38
250;28;38
251;29;38
252;30;38
253;32;38
254;33;38
255;34;38
256;35;38
257;36;38
258;37;38
259;38;38
260;39;38
261;40;38
262;41;38
263;10;43
