"run","randomSeed","Min_Dmg","Crit_Dmg","T_Health","Crit_Chance","Max_Dmg","CT_Health"
2,-1541332778,20,80,100,1,33,200
4,-1541305521,20,80,100,3,33,200
6,-1541279207,20,80,100,5,33,200
8,-1541251859,20,80,100,7,33,200
10,-1541236163,20,80,100,9,33,200
12,-1541208601,20,80,100,11,33,200
14,-1541178609,20,80,100,13,33,200
16,-1541159904,20,80,100,15,33,200
18,-1541132965,20,80,100,17,33,200
20,-1541104845,20,80,100,19,33,200
22,-1541089143,20,80,100,21,33,200
24,-1541064402,20,80,100,23,33,200
26,-1541034496,20,80,100,25,33,200
1,-1541333032,20,80,100,0,33,200
3,-1541305580,20,80,100,2,33,200
5,-1541286871,20,80,100,4,33,200
7,-1541259719,20,80,100,6,33,200
9,-1541232970,20,80,100,8,33,200
11,-1541206630,20,80,100,10,33,200
13,-1541181691,20,80,100,12,33,200
15,-1541163188,20,80,100,14,33,200
17,-1541136841,20,80,100,16,33,200
19,-1541110083,20,80,100,18,33,200
21,-1541080311,20,80,100,20,33,200
23,-1541053771,20,80,100,22,33,200
25,-1541026825,20,80,100,24,33,200
